id,name,type,typecode,lng,lat,pname,cityname,adname,address,biz_status,city,group,pair_id,search_type,search_typecode
B0FFHLESF2,唐厨潮汇海鲜大排档,餐饮服务;中餐厅;海鲜酒楼,050119,116.675865,23.45113,广东省,潮州市,潮安区,庵埠镇林厝安南北路首层铺面,,潮州,control,5,餐饮服务,050000
B030000P2C,老江鸭粥(南较路店),餐饮服务;中餐厅;中餐厅,050100,116.640442,23.653219,广东省,潮州市,湘桥区,三环集团公司宿舍三幢24-25号,,潮州,control,5,餐饮服务,050000
B0M6JLGENA,蜜雪冰城(铁铺店),餐饮服务;冷饮店;冷饮店,050700,116.76956,23.623309,广东省,潮州市,湘桥区,清泉路81号,,潮州,control,5,餐饮服务,050000
B0LKF5U2QX,塔斯汀中国汉堡(潮州市饶平三饶店),餐饮服务;快餐厅;快餐厅,050300,116.827484,23.979554,广东省,潮州市,饶平县,中华路27号,,潮州,control,5,餐饮服务,050000
B0LK6CKVIS,古茗(潮安人民公园店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,116.672459,23.466313,广东省,潮州市,潮安区,庵埠镇彩文路彩文花园81号,,潮州,control,5,餐饮服务,050000
B0LD6AHKW0,陕西面庄,餐饮服务;中餐厅;中餐厅,050100,116.589047,23.533286,广东省,潮州市,潮安区,沙溪镇镜鸿路内池路段塔斯丁对面,,潮州,control,5,餐饮服务,050000
B0LAXR4L9Z,隔年春·凤凰单丛茶馆,餐饮服务;茶艺馆;茶艺馆,050600,116.64541,23.667641,广东省,潮州市,湘桥区,太平街道打银街40号,,潮州,control,5,餐饮服务,050000
B0L0N5S3VE,古茗(湘桥凤园路店),餐饮服务;冷饮店;冷饮店,050700,116.630979,23.67389,广东省,潮州市,湘桥区,凤新街道凤园路316号,,潮州,control,5,餐饮服务,050000
B0KUG9UINC,小红帽家常菜(潮州饶平泰运店),餐饮服务;中餐厅;中餐厅,050100,116.996849,23.675099,广东省,潮州市,饶平县,黄冈镇沿河北路泰运广场16-18,,潮州,control,5,餐饮服务,050000
B0KKASKJYM,尊宝比萨(纯水岸店),餐饮服务;餐饮相关场所;餐饮相关,050000,116.672686,23.692788,广东省,潮州市,湘桥区,意溪镇意东三路东侧石牌村片区YXSP4-2地块华侨城纯水岸(一期)一层第188-189,,潮州,control,5,餐饮服务,050000
B0KDH5HG8P,塔斯汀中国汉堡(潮州市枫溪长美店),餐饮服务;快餐厅;快餐厅,050300,116.592361,23.655046,广东省,潮州市,潮安区,长美桥头综合楼安丰路第11一13号铺面,,潮州,control,5,餐饮服务,050000
B0K0UU2WMZ,匠本米所·炸酱米线·潮汕小食(恒大名都店),餐饮服务;快餐厅;快餐厅,050300,116.609401,23.686046,广东省,潮州市,湘桥区,北站二路潮州恒大名都二期20幢9-10号铺面,,潮州,control,5,餐饮服务,050000
