日期,淄博,济宁,哈尔滨,长春,开封,安阳,天水,宝鸡,景德镇,潮州
2023-01-09,1.153278,1.8987372,2.1327624,2.0979972,1.6766352,1.3945284,0.6359796,0.837054,0.635688,0.6867828
2023-01-10,1.117962,1.9418292,2.322432,2.0906424,1.857492,1.49688,0.6827004,0.87075,0.6576552,0.681858
2023-01-11,1.1885292,2.1297168,2.4294816,2.1308508,1.9533636,1.6545384,0.7261812,0.915624,0.7510644,0.7631496
2023-01-12,1.1583,2.0604456,2.4418908,2.2353084,1.9227456,1.5818328,0.7091712,0.9362628,0.733536,0.7887132
2023-01-13,1.1721672,2.1343176,2.4806088,2.19105,1.9280592,1.6159176,0.7319808,0.985284,0.7064172,0.7923744
2023-01-14,1.0820628,2.0529288,2.3748552,1.9619172,1.9076148,1.4731308,0.7054128,1.1507184,0.7339572,1.060614
2023-01-15,1.0702692,2.0935584,2.5951428,2.2885416,1.908522,1.4850864,0.7120872,1.0825812,0.7210296,1.0614564
2023-01-16,1.1928708,2.6299728,2.5389936,2.2504716,2.42595,1.8424908,0.8785908,1.2472704,0.8088012,1.0859508
2023-01-17,1.241244,2.8680156,2.6377488,2.2761324,2.6775684,2.1027276,1.004886,1.352214,0.8081208,1.2152592
2023-01-18,1.3241556,3.0275208,2.6311716,2.249694,2.6587116,2.168046,1.0759392,1.59003,0.788778,1.3232484
2023-01-19,1.4433552,3.3455268,2.5862004,2.2567248,2.7843912,2.3634828,1.2228732,2.0041344,0.760104,1.5091596
2023-01-20,1.3881456,3.0016656,2.1796128,1.9432548,2.7202068,2.2803444,1.1963052,2.2483656,0.6594048,1.3982868
2023-01-21,1.0600308,2.283552,1.4532696,1.2869928,2.58795,2.0960856,0.9466308,1.8690912,0.4767336,1.2549492
2023-01-22,0.8859132,1.7789544,1.4165928,1.3132044,3.246804,1.2797028,0.5427,1.4463036,0.4078836,1.4386896
2023-01-23,1.5273684,3.536946,2.8525608,2.8932552,4.027644,2.5394148,0.8155728,1.9683324,0.636822,1.9222272
2023-01-24,1.5813468,3.1171716,3.7977336,3.7155348,3.260412,2.1953916,0.8229276,1.919376,1.0629144,2.6021736
2023-01-25,1.9097532,2.9110752,4.0789332,4.103784,3.5360064,2.0528964,0.9277092,1.8915444,1.084752,2.1477636
2023-01-26,2.1026304,3.0670164,4.906494,4.8268872,3.213594,1.8423936,0.8980956,1.9074528,1.092366,1.953882
2023-01-27,2.2290228,2.9850444,6.2472708,6.1172172,3.14685,2.0839032,1.0256868,1.840158,1.0935324,1.7165844
2023-01-28,1.7171028,2.2344012,4.3480152,4.1414976,2.4861168,1.612062,0.7515504,1.2483396,1.0550736,1.4125428
2023-01-29,1.3992588,2.0530584,3.7985112,3.4623612,2.416554,1.455084,0.7616592,1.0532268,0.9428076,1.3142088
2023-01-30,1.4072616,2.045736,3.63285,3.2029344,2.2376088,1.4251464,0.7120872,0.9871956,0.8134992,1.2289644
